Channel,n,N_Lower_CI,N_Central,N_Upper_CI,Error_at_N_Central,CI_Lower_at_N_Central,CI_Upper_at_N_Central

W1,46,12500,11500,10400,0.0096875,0.0068332182504672965,0.013717567319593274

W2,10,180,170,150,0.009375,0.0065748377317894555,0.013351697223593015
W2,12,250,250,230,0.005660377358490566,0.003967886128919656,0.00806894779916107
W2,14,350,330,310,0.008823529411764706,0.006187659220036865,0.01256804946764474
W2,16,460,430,410,0.0075,0.005258647297021444,0.01068640434333452
W2,18,580,540,520,0.0096875,0.0068332182504672965,0.013717567319593274
W2,20,680,660,640,0.00945945945945946,0.0068095926078893245,0.013126859759649459
W2,22,820,800,730,0.009714285714285713,0.006960036730992879,0.013543590406541527
W2,24,1040,970,940,0.009189189189189189,0.006583406122495382,0.01281306632899246
W2,26,1240,1060,1030,0.009722222222222222,0.006998965325828357,0.01349068708103909
W2,28,1360,1230,1200,0.009210526315789473,0.006630197749695373,0.012782140966331769
W2,30,1560,1470,1470,0.008571428571428572,0.006197894401158532,0.011843094909121017
W2,32,1800,1600,1600,0.009743589743589744,0.00710716604595921,0.013344857854830378
W2,34,1960,1920,1870,0.0075,0.005422477758638711,0.010365191228945367
W2,36,2170,2100,2020,0.009736842105263158,0.007072440294174151,0.013391466959422936
W2,38,2450,2340,2260,0.0095,0.00692929268130244,0.013011921185894717
W2,40,2790,2590,2420,0.0095,0.00692929268130244,0.013011921185894717
W2,42,3070,2920,2820,0.00836734693877551,0.00617408066607883,0.011330861029433856
W2,44,3230,3140,2960,0.0095,0.00692929268130244,0.013011921185894717
W2,46,3530,3450,3440,0.008863636363636363,0.006490850753473547,0.012093255778511024
W2,48,4000,3610,3610,0.00975609756097561,0.007172987090761421,0.013257007503812254
W1,10,730,650,650,0.0085,0.006089150197258205,0.011853982556518358
W1,12,1020,940,860,0.008205128205128205,0.005818183298827377,0.01155994527947515
W1,14,1300,1170,1140,0.008648648648648649,0.006133010287629836,0.01218350233175612
W1,16,1600,1490,1470,0.009166666666666667,0.006534671545921344,0.012845054121463799
W1,18,2060,1840,1780,0.00945945945945946,0.0068095926078893245,0.013126859759649459
W1,20,2390,2350,2310,0.008947368421052631,0.006409973718473386,0.012476580728768784
W1,22,2990,2770,2560,0.008292682926829269,0.005940487511941485,0.011565417514257782
W1,24,3450,3230,3150,0.00853658536585366,0.00614457206287716,0.011848681224717845
W1,26,4090,3760,3690,0.009722222222222222,0.006998965325828357,0.01349068708103909
W1,28,4910,4260,4130,0.009473684210526316,0.006851028012244302,0.013087094972567815
W1,30,5320,4820,4730,0.00972972972972973,0.007036401937586865,0.013440030346002859
W1,32,5740,5530,5430,0.009024390243902438,0.00655440267785882,0.01241354713252765
W1,34,6770,6270,6270,0.009473684210526316,0.006851028012244302,0.013087094972567815
W1,36,7600,6930,6810,0.009047619047619047,0.006598982942588661,0.012393517036963871
W1,38,8350,7640,7570,0.00925,0.006718438633114451,0.01272325495572756
W1,40,9150,8460,8340,0.008837209302325582,0.006445362244495913,0.012105845922584589
W1,42,9970,9230,9150,0.00975,0.007140657641674861,0.013300076503877448
W1,44,11120,10210,10130,0.007959183673469388,0.005827918171401528,0.010861336468648735
