Channel,n,Delta_Target,N_Lower_CI,N_Central,N_Upper_CI,Error_at_N_Central,CI_Lower_at_N_Central,CI_Upper_at_N_Central
W1,20,0.01,2340,2164,1907,0.009375,0.0065748377317894555,0.013351697223593015
W1,20,0.02,1818,1641,1432,0.019375,0.013682759307089527,0.027369589388963892
W1,20,0.03,1613,1245,1183,0.02909090909090909,0.020680865875988188,0.040778556832390234
W1,20,0.04,1341,1068,961,0.03777777777777778,0.027158381047724237,0.052326199040503577
W1,20,0.05,1171,1014,744,0.047142857142857146,0.03376274290038138,0.06546622115881943
W1,20,0.060000000000000005,1068,889,636,0.058333333333333334,0.04223947455645402,0.08004669467231494
W1,20,0.06999999999999999,955,746,632,0.06,0.04234835648094619,0.08436106312521978
W1,20,0.08,883,680,563,0.0775,0.055132934676844526,0.10790495403563605
W1,20,0.09,784,646,489,0.085,0.061463020023938206,0.1164321842735279
W1,20,0.09999999999999999,751,601,477,0.095,0.06999661149327466,0.12770834691750552
W1,20,0.11,666,521,391,0.10666666666666667,0.07657584904594215,0.1467032883173674
W1,20,0.12,616,520,360,0.11666666666666667,0.08509313461466295,0.1579331433241557
W1,20,0.13,630,505,335,0.12,0.08795084430363892,0.16165781382701608
W1,20,0.14,579,464,279,0.13666666666666666,0.10236514609208627,0.18015541299775054
W1,20,0.15000000000000002,561,407,301,0.14666666666666667,0.11110518744033698,0.1911625122250089
W1,20,0.16,514,370,301,0.155,0.11139636927689317,0.2116069059234208
W1,20,0.17,466,353,246,0.16,0.11567412031587018,0.2171407016206711
W1,20,0.18000000000000002,457,347,281,0.175,0.12860515066273331,0.23364431148248999
W1,20,0.19,383,342,261,0.185,0.13730192800616045,0.24457062761151752
W1,20,0.2,395,310,218,0.185,0.13730192800616045,0.24457062761151752
W1,20,0.21000000000000002,375,295,181,0.21,0.15928412069979003,0.2716461685990246
W1,20,0.22,357,289,158,0.17,0.12427907912586969,0.22815883628312625
W1,20,0.23,316,233,167,0.2,0.15045200926098115,0.26085518656537876
W1,20,0.24000000000000002,279,218,149,0.21,0.15928412069979003,0.2716461685990246
W1,20,0.25,299,213,133,0.235,0.1815743341523259,0.2984136888276254
W1,20,0.26,296,210,146,0.25,0.19508168006817497,0.31434098312045833
W1,20,0.27,290,205,130,0.26,0.20413830063574684,0.32490745602534116
W1,20,0.28,273,201,122,0.245,0.19056868089037177,0.3090424355620342
W1,20,0.29000000000000004,257,190,100,0.28,0.22236889773949026,0.3459230458665071
W1,20,0.3,227,188,118,0.275,0.21779700329307353,0.34068339357669647
W1,20,0.31,248,175,103,0.3,0.21894885294932764,0.39584854633346667
W1,20,0.32,203,167,78,0.3,0.21894885294932764,0.39584854633346667
W1,20,0.33,246,157,110,0.32,0.23669147324999093,0.41662618610452384
W1,20,0.34,216,151,93,0.31,0.22779697212376043,0.4062605571948941
W1,20,0.35000000000000003,206,137,91,0.34,0.27791545970908793,0.4081150447316374
W1,20,0.36000000000000004,195,124,86,0.36,0.2727122040140433,0.4576459754839127
