Channel,n,Delta,N,Error
W1,20,0.01,2060,0.01
W1,20,0.02,1550,0.018
W1,20,0.03,1280,0.022
W1,20,0.04,1220,0.04
W1,20,0.05,1100,0.05
W2,20,0.01,580,0.008
W2,20,0.02,480,0.02
W2,20,0.03,430,0.022
W2,20,0.04,340,0.04
W2,20,0.05,380,0.046
W1,20,0.06,995,0.0565
W1,20,0.07,935,0.0665
W1,20,0.08,855,0.08
W1,20,0.09,775,0.084
W1,20,0.1,710,0.0965
W1,20,0.11,650,0.109
W1,20,0.12,610,0.1195
W1,20,0.13,570,0.1265
W1,20,0.14,535,0.1395
W1,20,0.15,495,0.1465
W1,20,0.16,455,0.155
W1,20,0.17,455,0.1625
W1,20,0.18,410,0.176
W1,20,0.19,400,0.187
W1,20,0.2,345,0.1985
W1,20,0.21,360,0.206
W1,20,0.22,315,0.218
W1,20,0.23,320,0.221
W1,20,0.24,320,0.237
W1,20,0.25,270,0.248
W1,20,0.26,270,0.26
W1,20,0.27,255,0.266
W1,20,0.28,260,0.2685
W1,20,0.29,240,0.2845
W1,20,0.3,235,0.2965
W1,20,0.31,225,0.2965
W1,20,0.32,185,0.318
W1,20,0.33,195,0.319
W1,20,0.34,185,0.34
W1,20,0.35,185,0.3455
W1,20,0.36,165,0.3355
W1,20,0.37,170,0.359
W1,20,0.38,160,0.363
W1,20,0.39,155,0.3875
W1,20,0.4,145,0.383
W1,20,0.41,145,0.4085
W1,20,0.42,135,0.414
W1,20,0.43,125,0.416
W1,20,0.44,130,0.4145
W1,20,0.45,125,0.4335
W1,20,0.46,115,0.4495
W1,20,0.47,110,0.456
W1,20,0.48,105,0.4715
W1,20,0.49,105,0.478
W1,20,0.5,105,0.471
W2,20,0.06,350,0.0595
W2,20,0.07,315,0.0665
W2,20,0.08,300,0.0765
W2,20,0.09,280,0.0805
W2,20,0.1,255,0.095
W2,20,0.11,250,0.1055
W2,20,0.12,240,0.118
W2,20,0.13,225,0.127
W2,20,0.14,215,0.138
W2,20,0.15,205,0.1355
W2,20,0.16,205,0.1335
W2,20,0.17,185,0.1665
W2,20,0.18,180,0.1745
W2,20,0.19,170,0.183
W2,20,0.2,175,0.176
W2,20,0.21,160,0.1905
W2,20,0.22,155,0.2
W2,20,0.23,145,0.225
W2,20,0.24,145,0.225
W2,20,0.25,130,0.2385
W2,20,0.26,125,0.258
W2,20,0.27,120,0.2655
W2,20,0.28,115,0.2675
W2,20,0.29,110,0.267
W2,20,0.3,115,0.293
W2,20,0.31,110,0.289
W2,20,0.32,110,0.289
W2,20,0.33,100,0.3185
W2,20,0.34,100,0.324
W2,20,0.35,90,0.3385
W2,20,0.36,90,0.355
W2,20,0.37,85,0.357
W2,20,0.38,85,0.3685
W2,20,0.39,80,0.375
W2,20,0.4,80,0.3905
W2,20,0.41,70,0.4
W2,20,0.42,70,0.4105
W2,20,0.43,75,0.4025
W2,20,0.44,65,0.4125
W2,20,0.45,65,0.4365
W2,20,0.46,65,0.46
W2,20,0.47,60,0.467
W2,20,0.48,60,0.4435
W2,20,0.49,55,0.463
W2,20,0.5,55,0.468
