Channel,n,N,Error
W1,2,60,0.005
W1,4,110,0.0025
W1,6,270,0.008333333333333333
W1,8,390,0.00875
W1,10,640,0.008
W1,12,870,0.009166666666666667
W1,14,1040,0.009285714285714286
W1,16,1460,0.00875
W1,18,1820,0.006666666666666667
W1,20,2110,0.007
W1,22,2590,0.00909090909090909
W1,24,3230,0.009166666666666667
W1,26,3590,0.009615384615384616
W1,28,4170,0.008214285714285714
W2,2,20,0.0
W2,4,30,0.0075
W2,6,70,0.006666666666666667
W2,8,120,0.00625
W2,10,160,0.008
W2,12,220,0.0075
W2,14,310,0.009285714285714286
W2,16,430,0.009375
W2,18,520,0.009444444444444445
W2,20,600,0.008
W2,22,770,0.00909090909090909
W2,24,860,0.00875
W2,26,1090,0.008076923076923077
W2,28,1280,0.009285714285714286
W2,30,1390,0.008666666666666666
W2,32,1610,0.0096875
W2,34,1810,0.007941176470588234
W2,36,2050,0.009722222222222222
W2,38,2300,0.008684210526315789
W2,40,2580,0.009
W2,42,2830,0.008809523809523809
W2,44,2910,0.009318181818181817
W2,46,3270,0.009565217391304347
W1,30,4830,0.009333333333333334
W2,48,3600,0.008794117647058823
W1,32,5420,0.009375
