Channel,n,Delta,N,Error
W1,20,0.01,300,0.008
W1,20,0.02,270,0.014
W1,20,0.03,200,0.026
W1,20,0.04,170,0.036
W1,20,0.05,150,0.05
W2,20,0.01,700,0.01
W2,20,0.02,540,0.018
W2,20,0.03,530,0.022
W2,20,0.04,490,0.036
W2,20,0.05,460,0.042
W1,20,0.06,155,0.0585
W1,20,0.06,160,0.046
W1,20,0.07,140,0.0685
W1,20,0.08,135,0.0625
W1,20,0.09,120,0.089
W1,20,0.1,110,0.084
W1,20,0.11,105,0.1085
W1,20,0.12,95,0.115
W1,20,0.13,95,0.1195
W1,20,0.14,90,0.1365
W1,20,0.15,80,0.135
W1,20,0.16,75,0.1515
W1,20,0.17,75,0.1475
W1,20,0.18,70,0.1525
W1,20,0.19,70,0.1665
W1,20,0.2,65,0.1915
W1,20,0.21,60,0.1935
W1,20,0.22,55,0.2095
W1,20,0.23,55,0.2025
W1,20,0.24,50,0.2375
W1,20,0.25,50,0.2275
W1,20,0.26,50,0.235
W1,20,0.27,45,0.268
W1,20,0.28,45,0.264
W1,20,0.29,45,0.2655
W1,20,0.3,40,0.286
W1,20,0.31,40,0.2795
W1,20,0.32,40,0.2785
W1,20,0.33,35,0.3185
W1,20,0.34,35,0.315
W1,20,0.35,30,0.349
W1,20,0.36,35,0.313
W1,20,0.37,30,0.3505
W1,20,0.38,30,0.347
W1,20,0.39,25,0.39
W1,20,0.4,30,0.3695
W1,20,0.41,25,0.3995
W1,20,0.42,30,0.341
W1,20,0.43,25,0.411
W1,20,0.44,25,0.411
W1,20,0.45,25,0.3925
W1,20,0.46,20,0.4505
W1,20,0.47,20,0.461
W1,20,0.48,20,0.4785
W1,20,0.49,20,0.4675
W1,20,0.5,20,0.467
W2,20,0.06,425,0.0585
W2,20,0.07,405,0.0655
W2,20,0.08,380,0.076
W2,20,0.09,350,0.084
W2,20,0.1,325,0.097
W2,20,0.11,300,0.1065
W2,20,0.12,295,0.1115
W2,20,0.13,295,0.1195
W2,20,0.14,275,0.132
W2,20,0.15,260,0.136
W2,20,0.16,250,0.158
W2,20,0.17,235,0.1635
W2,20,0.18,230,0.1635
W2,20,0.19,210,0.181
W2,20,0.2,205,0.1935
W2,20,0.21,200,0.1925
W2,20,0.22,185,0.208
W2,20,0.23,180,0.23
W2,20,0.24,175,0.229
W2,20,0.25,170,0.2325
W2,20,0.26,155,0.2565
W2,20,0.27,150,0.2695
W2,20,0.28,150,0.254
W2,20,0.29,145,0.287
W2,20,0.3,145,0.298
W2,20,0.31,135,0.309
W2,20,0.32,130,0.3125
W2,20,0.33,130,0.3205
W2,20,0.34,120,0.3385
W2,20,0.35,120,0.326
W2,20,0.36,115,0.3575
W2,20,0.37,115,0.3675
W2,20,0.38,110,0.3635
W2,20,0.39,105,0.3875
W2,20,0.4,105,0.374
W2,20,0.41,100,0.3865
W2,20,0.42,100,0.3925
W2,20,0.43,90,0.427
W2,20,0.44,90,0.4335
W2,20,0.45,85,0.4305
W2,20,0.46,85,0.4455
W2,20,0.47,80,0.446
W2,20,0.48,80,0.4385
W2,20,0.49,75,0.4795
W2,20,0.5,75,0.4755
