Channel,n,N,Error
W1,2,50,0.005
W1,4,80,0.005
W1,6,100,0.008333333333333333
W1,8,130,0.00875
W1,10,170,0.007
W1,12,230,0.005833333333333334
W1,14,240,0.0064285714285714285
W1,16,260,0.00875
W1,18,270,0.009444444444444445
W1,20,320,0.0065
W1,22,350,0.007727272727272728
W1,24,370,0.009583333333333333
W1,26,410,0.008076923076923077
W1,28,460,0.007142857142857143
W1,30,490,0.008666666666666666
W1,32,530,0.008125
W1,34,520,0.009411764705882352
W1,36,610,0.0077777777777777776
W1,38,580,0.009736842105263158
W1,40,660,0.0065
W1,42,660,0.008333333333333333
W1,44,690,0.009318181818181817
W1,46,730,0.009565217391304347
W1,48,740,0.008125
W1,50,780,0.0092
W2,2,20,0.0
W2,4,30,0.005
W2,6,80,0.0033333333333333335
W2,8,140,0.005
W2,10,210,0.008
W2,12,310,0.009166666666666667
W2,14,420,0.005
W2,16,510,0.008125
W2,18,600,0.009444444444444445
W2,20,810,0.0095
W2,22,1040,0.007727272727272728
W2,24,1170,0.00875
W2,26,1380,0.008461538461538461
W2,28,1550,0.007857142857142858
W2,30,1800,0.008
W2,32,2040,0.00875
W2,34,2330,0.007058823529411765
W2,36,2640,0.009166666666666667
W2,38,2840,0.009736842105263158
W2,40,3190,0.00975
W2,42,3540,0.009761904761904762
W2,44,3850,0.009772727272727273
W2,46,4280,0.009565217391304347
W2,48,4600,0.00875
