Channel,n,N,Error
W1,2,28,0.015
W1,4,60,0.015
W1,6,108,0.013333333333333334
W1,8,140,0.01
W1,10,156,0.01
W1,12,196,0.01
W1,14,244,0.012142857142857143
W1,16,268,0.009375
W1,18,316,0.006666666666666667
W1,20,324,0.0105
W1,22,340,0.01090909090909091
W1,24,436,0.008333333333333333
W1,26,412,0.012692307692307692
W1,28,444,0.008928571428571428
W1,30,500,0.008333333333333333
W1,32,500,0.01
W1,34,580,0.008823529411764706
W1,36,564,0.011944444444444445
W1,38,644,0.008157894736842105
W1,40,644,0.01
W1,42,756,0.008571428571428572
W1,44,708,0.008181818181818182
W1,46,740,0.008043478260869565
W1,48,780,0.01
W1,50,788,0.0122
W1,52,820,0.008846153846153846
W1,54,852,0.01074074074074074
W1,56,884,0.011607142857142858
W1,58,924,0.007758620689655172
W1,60,964,0.0115
W1,62,988,0.01064516129032258
W1,64,972,0.0128125
W1,66,1100,0.008181818181818182
W1,68,1092,0.009558823529411765
W1,70,1132,0.009
W1,72,1148,0.010972222222222222
W1,74,1220,0.007297297297297297
W1,76,1212,0.010657894736842106
W1,78,1244,0.009615384615384616
W1,80,1292,0.00975
W1,82,1244,0.010731707317073172
W1,84,1340,0.010714285714285714
W1,86,1388,0.00813953488372093
W1,88,1436,0.009659090909090909
W1,90,1396,0.007666666666666666
W1,92,1476,0.009782608695652175
W1,94,1540,0.010851063829787235
W1,96,1540,0.009895833333333333
W1,98,1564,0.010510204081632652
W1,100,1532,0.0114
W1,102,1532,0.011176470588235295
W1,104,1732,0.010480769230769231
W1,106,1692,0.010471698113207547
W1,108,1724,0.010462962962962962
W2,2,1664,0.008272727272727272
W2,4,28,0.01
W2,6,60,0.01
W2,8,116,0.01125
W2,10,212,0.009
W2,12,292,0.010833333333333334
W2,14,380,0.01
W2,16,508,0.0075
W2,18,668,0.009444444444444445
W2,20,804,0.0095
W2,22,1020,0.01090909090909091
W2,24,1196,0.008333333333333333
W2,26,1388,0.013461538461538462
W2,28,1564,0.011785714285714287
W2,30,1756,0.012
W2,32,2180,0.008125
W2,34,2340,0.014705882352941176
W2,36,2884,0.009722222222222222
