Channel,n,N_Lower_CI,N_Central,N_Upper_CI,Error_at_N_Central,CI_Lower_at_N_Central,CI_Upper_at_N_Central
W1,10,180,170,160,0.007804878048780488,0.005534100327832817,0.010997108175574984
W1,12,240,200,190,0.0074418604651162795,0.005276467617571813,0.010486533754528803
W1,14,250,230,220,0.009696969696969697,0.006877282073397981,0.013656832431270208
W1,16,290,280,260,0.009705882352941177,0.006919513337599004,0.013598909645853235
W1,18,330,300,300,0.00891891891891892,0.006357869138675944,0.012498623396760954
W1,20,370,330,300,0.009210526315789473,0.006630197749695373,0.012782140966331769
W1,22,410,350,330,0.009444444444444445,0.006766484538814418,0.013168204498311879
W1,24,430,390,370,0.009444444444444445,0.006766484538814418,0.013168204498311879
W1,26,470,420,410,0.008571428571428572,0.006197894401158532,0.011843094909121017
W1,28,480,440,430,0.009230769230769232,0.0066751707423433684,0.012752221384283866
W1,30,530,500,450,0.009736842105263158,0.007072440294174151,0.013391466959422936
W1,32,540,530,500,0.0095,0.00692929268130244,0.013011921185894717
W1,34,600,570,520,0.008222222222222223,0.005971233419248623,0.011312114481073889
W1,36,630,590,560,0.00925,0.006718438633114451,0.01272325495572756
W1,38,650,620,600,0.008222222222222223,0.005971233419248623,0.011312114481073889
W1,40,660,650,640,0.009047619047619047,0.006598982942588661,0.012393517036963871
W1,42,720,700,670,0.009047619047619047,0.006598982942588661,0.012393517036963871
W1,44,730,720,700,0.009743589743589744,0.00710716604595921,0.013344857854830378
W1,46,750,710,710,0.00951219512195122,0.00696630628225611,0.012976340050921832
W1,48,800,780,770,0.00951219512195122,0.00696630628225611,0.012976340050921832
W1,50,840,790,790,0.008,0.0058806817250996474,0.010874736988836562
W2,10,200,200,190,0.0064,0.004537188108410645,0.009020687251749749
W2,12,330,300,290,0.009166666666666667,0.006534671545921344,0.012845054121463799
W2,14,450,410,400,0.007857142857142858,0.005600264224322547,0.011013459082047525
W2,16,590,530,530,0.009428571428571429,0.006721588444535749,0.013211236610910972
W2,18,730,660,640,0.009428571428571429,0.006721588444535749,0.013211236610910972
W2,20,900,850,840,0.008292682926829269,0.005940487511941485,0.011565417514257782
W2,22,1130,1040,1020,0.0085,0.006089150197258205,0.011853982556518358
W2,24,1310,1170,1170,0.008947368421052631,0.006409973718473386,0.012476580728768784
W2,26,1520,1390,1380,0.009722222222222222,0.006998965325828357,0.01349068708103909
W2,28,1670,1620,1580,0.00972972972972973,0.007036401937586865,0.013440030346002859
W2,30,1910,1880,1810,0.00972972972972973,0.007036401937586865,0.013440030346002859
W2,32,2260,2180,2140,0.009230769230769232,0.0066751707423433684,0.012752221384283866
W2,34,2500,2360,2320,0.008222222222222223,0.005971233419248623,0.011312114481073889
W2,36,2920,2590,2590,0.009024390243902438,0.00655440267785882,0.01241354713252765
W2,38,3150,2930,2900,0.0095,0.00692929268130244,0.013011921185894717
W2,40,3620,3300,3280,0.009047619047619047,0.006598982942588661,0.012393517036963871
W2,42,3900,3590,3550,0.008666666666666666,0.006346467100932284,0.011825011528807019
W2,44,4200,4070,3760,0.009268292682926829,0.006760105339838701,0.012695192731943503
W2,46,4520,4380,4120,0.00851063829787234,0.00625640544046825,0.011567634666894153
W2,48,4990,4550,4550,0.009285714285714286,0.006800266182603161,0.012667989131585865
W2,50,5300,5000,4900,0.007857142857142858,0.005600264224322547,0.011013459082047525

