Channel,n,Delta_Target,N_Lower_CI,N_Central,N_Upper_CI,Error_at_N_Central,CI_Lower_at_N_Central,CI_Upper_at_N_Central
W1,20,0.01,343,323,285,0.008571428571428572,0.00601068100982689,0.01220973779935678
W1,20,0.02,267,235,209,0.019375,0.013682759307089527,0.027369589388963892
W1,20,0.03,229,197,163,0.02727272727272727,0.01916956023963568,0.038666153676110995
W1,20,0.04,217,185,149,0.035555555555555556,0.02529677742968986,0.04976224775511598
W1,20,0.05,173,163,133,0.04428571428571428,0.03137206173843161,0.062173804302215245
W1,20,0.060000000000000005,153,135,117,0.056666666666666664,0.0408316553533054,0.0781423862121759
W1,20,0.06999999999999999,151,121,107,0.064,0.045696016044789414,0.08895240883768414
W1,20,0.08,141,119,99,0.07,0.05075974294501809,0.09579718985191685
W1,20,0.09,133,111,81,0.085,0.061463020023938206,0.1164321842735279
W1,20,0.09999999999999999,127,109,75,0.09,0.06571729376939449,0.12208278758472867
W1,20,0.11,114,98,72,0.0825,0.05934587622971528,0.1135968895394223
W1,20,0.12,116,86,74,0.11666666666666667,0.08509313461466295,0.1579331433241557
W1,20,0.13,104,74,62,0.12666666666666668,0.09369224846506605,0.16908117004926168
W1,20,0.14,112,76,56,0.13666666666666666,0.10236514609208627,0.18015541299775054
W1,20,0.15000000000000002,96,74,60,0.13,0.09657536941275233,0.17278042929341172
W1,20,0.16,90,71,50,0.155,0.11139636927689317,0.2116069059234208
W1,20,0.17,84,70,50,0.14666666666666667,0.11110518744033698,0.1911625122250089
W1,20,0.18000000000000002,88,62,54,0.16,0.12285354558409953,0.20574367484859177
W1,20,0.19,84,54,52,0.18,0.13294625859420173,0.23911475028724888
W1,20,0.2,76,54,42,0.195,0.14605520534400512,0.2554404437461275
W1,20,0.21000000000000002,62,51,38,0.21,0.15928412069979003,0.2716461685990246
W1,20,0.22,64,49,38,0.19,0.14167171527790673,0.25001238707599854
W1,20,0.23,62,48,30,0.22,0.16816538358833258,0.2823879991829367
W1,20,0.24000000000000002,66,48,36,0.22,0.16816538358833258,0.2823879991829367
W1,20,0.25,66,46,34,0.235,0.1815743341523259,0.2984136888276254
W1,20,0.26,58,46,32,0.22,0.16816538358833258,0.2823879991829367
W1,20,0.27,62,43,26,0.255,0.19960495172031342,0.31962925820454713
W1,20,0.28,52,40,24,0.25,0.19508168006817497,0.31434098312045833
W1,20,0.29000000000000004,50,40,28,0.27,0.2132344981468584,0.3354343519866842
W1,20,0.3,48,40,30,0.28,0.22236889773949026,0.3459230458665071
W1,20,0.31,46,38,24,0.3,0.21894885294932764,0.39584854633346667
W1,20,0.32,44,37,20,0.265,0.20868154147109108,0.3301757619262242
W1,20,0.33,40,34,24,0.3,0.21894885294932764,0.39584854633346667
W1,20,0.34,40,28,28,0.295,0.2361394385684915,0.36158714524618785
W1,20,0.35000000000000003,44,28,24,0.31,0.2499894483607809,0.37717177566258037
W1,20,0.36000000000000004,42,27,22,0.36,0.2727122040140433,0.4576459754839127
W1,20,0.37,38,26,22,0.33,0.2456312273412804,0.42694656204909476
W1,20,0.38,38,25,14,0.36,0.2727122040140433,0.4576459754839127
W1,20,0.39,38,26,20,0.34,0.25461520797348164,0.43722271145275377
W1,20,0.4,26,24,12,0.36,0.2727122040140433,0.4576459754839127
W1,20,0.41000000000000003,40,22,16,0.39,0.3001687400639442,0.4879698295415927
W1,20,0.42000000000000004,28,22,16,0.42,0.32798382674354737,0.5179351329695704
W1,20,0.43,30,24,16,0.41,0.31867313021136523,0.5079856994658922
W1,20,0.44,32,26,18,0.39,0.3001687400639442,0.4879698295415927
W1,20,0.45,28,24,18,0.37,0.28182360534324535,0.4677947041905709
W1,20,0.46,26,22,14,0.45,0.35614537979511984,0.5475539700255787
W1,20,0.47000000000000003,30,18,14,0.42,0.32798382674354737,0.5179351329695704
W1,20,0.48000000000000004,28,22,16,0.41,0.31867313021136523,0.5079856994658922
W1,20,0.49,20,18,12,0.42,0.32798382674354737,0.5179351329695704
W1,20,0.5,20,20,12,0.37,0.28182360534324535,0.4677947041905709
W2,20,0.01,885,795,675,0.008823529411764706,0.006187659220036865,0.01256804946764474
W2,20,0.02,707,635,517,0.019375,0.013682759307089527,0.027369589388963892
W2,20,0.03,629,567,497,0.02727272727272727,0.01916956023963568,0.038666153676110995
W2,20,0.04,535,479,385,0.033,0.0235929279584269,0.04598126446708158
W2,20,0.05,485,461,367,0.0375,0.02639209671279094,0.0530283637774594
W2,20,0.060000000000000005,465,395,331,0.051666666666666666,0.03663474390730752,0.0724029146683108
W2,20,0.06999999999999999,437,389,297,0.068,0.049066507424906855,0.09352092273387429
W2,20,0.08,397,341,265,0.075,0.053037743922847665,0.10504770626130439
W2,20,0.09,393,329,255,0.08,0.05723575041013351,0.11075457683067555
W2,20,0.09999999999999999,327,315,251,0.085,0.061463020023938206,0.1164321842735279
W2,20,0.11,326,273,217,0.1,0.07094791459501534,0.1391664623846215
W2,20,0.12,325,267,229,0.11666666666666667,0.08509313461466295,0.1579331433241557
W2,20,0.13,269,251,193,0.12666666666666668,0.09369224846506605,0.16908117004926168
W2,20,0.14,297,245,195,0.11,0.07940528531126051,0.1504562322438854
W2,20,0.15000000000000002,275,241,173,0.14,0.10527132693072415,0.18383161235094903
W2,20,0.16,241,221,165,0.155,0.11139636927689317,0.2116069059234208
W2,20,0.17,241,203,177,0.155,0.11139636927689317,0.2116069059234208
W2,20,0.18000000000000002,269,201,151,0.17,0.12427907912586969,0.22815883628312625
W2,20,0.19,245,199,165,0.185,0.13730192800616045,0.24457062761151752
W2,20,0.2,219,193,139,0.185,0.13730192800616045,0.24457062761151752
W2,20,0.21000000000000002,233,189,137,0.19,0.14167171527790673,0.25001238707599854
W2,20,0.22,199,175,131,0.215,0.16371876254507584,0.27702307348996613
W2,20,0.23,201,166,109,0.205,0.1548617620383621,0.2662569805242252
W2,20,0.24000000000000002,183,163,103,0.24,0.18606615992413691,0.3037334097920417
W2,20,0.25,181,159,113,0.235,0.1815743341523259,0.2984136888276254
W2,20,0.26,167,157,87,0.24,0.18606615992413691,0.3037334097920417
W2,20,0.27,181,157,95,0.255,0.19960495172031342,0.31962925820454713
W2,20,0.28,167,155,91,0.23,0.17709343259068805,0.2930830436530359
W2,20,0.29000000000000004,145,143,91,0.24,0.18606615992413691,0.3037334097920417
W2,20,0.3,165,139,91,0.245,0.19056868089037177,0.3090424355620342
W2,20,0.31,139,129,83,0.295,0.2361394385684915,0.36158714524618785
W2,20,0.32,143,124,83,0.31,0.2499894483607809,0.37717177566258037
W2,20,0.33,135,121,75,0.3,0.21894885294932764,0.39584854633346667
W2,20,0.34,141,114,63,0.33,0.2456312273412804,0.42694656204909476
W2,20,0.35000000000000003,134,110,64,0.35,0.2636424824309753,0.44745556703112044
W2,20,0.36000000000000004,130,106,84,0.31,0.22779697212376043,0.4062605571948941
W2,20,0.37,132,93,70,0.33,0.2456312273412804,0.42694656204909476
W2,20,0.38,118,90,58,0.34,0.25461520797348164,0.43722271145275377
W2,20,0.39,128,90,62,0.36,0.2727122040140433,0.4576459754839127
W2,20,0.4,110,86,68,0.37,0.28182360534324535,0.4677947041905709
W2,20,0.41000000000000003,120,82,68,0.4,0.3094012864324589,0.4979974132089382
W2,20,0.42000000000000004,114,78,68,0.4,0.3094012864324589,0.4979974132089382
